Name,,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
Suryavanshi Restaurant,,Civil Lines,15 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Chinese","1,400",no,yes,no,yes,3.1,
Suryavansi,,Mansarovar,17 Dining Reviews,Does not offer Delivery,,North Indian,400,no,no,no,yes,3.7,
Suvarna Mahal - Rambagh Palace,,C Scheme,211 Dining Reviews,Does not offer Delivery,Fine Dining ,"North Indian, Awadhi, Hyderabadi","5,000",no,yes,no,yes,4.3,
Swaad Restaurant & Fast Food,,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Fast Food",300,no,no,no,yes,,
Swaad Restaurant & Tiffin Centre,,Vidhyadhar Nagar,Does not offer Dining,69 Delivery Reviews,,North Indian,300,yes,no,yes,no,,3.2
Swaadesi,,Jawahar Nagar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai, Beverages",300,no,no,yes,no,,
Swaadesi,,South Jaipur,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai, Beverages",300,no,no,yes,no,,
Swaadesi,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai, Beverages",300,no,no,yes,no,,
Swaadisht Bakery,,Jhotwara,60 Dining Reviews,761 Delivery Reviews,Quick Bites ,"Street Food, Fast Food, South Indian, Bakery",300,yes,no,yes,yes,3.3,3.8
Swad & Swag,,Mansarovar,21 Dining Reviews,36 Delivery Reviews,Quick Bites ,"North Indian, Chinese, Fast Food",500,yes,no,yes,yes,3.3,3.9
Swad Anusar,,Malviya Nagar,38 Dining Reviews,190 Delivery Reviews,Quick Bites ,"North Indian, Mughlai, Fast Food, Beverages",400,no,no,yes,yes,3.7,3.5
Swad Fast Food Cafe And Veg Restaurant,,Sitapur,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Fast Food",250,yes,no,yes,yes,,
Swad Restaurant,,Mansarovar,42 Dining Reviews,197 Delivery Reviews,Casual Dining ,North Indian,300,yes,no,yes,yes,3.3,3.9
Swad Veg-NonVeg Restaurant,,Sitapur,23 Dining Reviews,297 Delivery Reviews,Quick Bites ,North Indian,500,no,no,yes,yes,2.9,3
Swadesi Fast Food,,Adarsh Nagar,Does not offer Dining,24 Delivery Reviews,,North Indian,250,yes,no,yes,no,,3.2
Swagat Restaurant,,Sikar Road,15 Dining Reviews,50 Delivery Reviews,Casual Dining ,"North Indian, South Indian, Chinese",550,no,no,yes,yes,3.4,3.8
Swagat Restaurant,,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Fast Food",500,no,no,no,yes,,
Swagatam Restaurant,,Khatipura Road,7 Dining Reviews,145 Delivery Reviews,Quick Bites ,North Indian,500,no,no,yes,yes,2.9,3.8
Swami South Indian Masala Dosa,,Mansarovar,40 Dining Reviews,346 Delivery Reviews,Quick Bites ,South Indian,200,yes,no,yes,yes,3.2,3.3
Swamy Cafe,,Raja Park,160 Dining Reviews,Does not offer Delivery,Quick Bites ,South Indian,300,yes,no,no,yes,3.7,
Swapna Mahal - The Raj Palace,,Amer Road,39 Dining Reviews,Does not offer Delivery,Fine Dining ,"North Indian, Rajasthani, Continental, Chinese","6,000",no,yes,no,yes,3.8,
Swarn Mahal-Virasat Heritage Restaurant,,Bais Godam,42 Dining Reviews,Not enough Delivery Reviews,Fine Dining ,Rajasthani,"3,000",no,no,yes,yes,3,
Swaruchi Restaurant,,Shyam Nagar,21 Dining Reviews,70 Delivery Reviews,Casual Dining ,"North Indian, Fast Food, South Indian",600,yes,no,yes,yes,3,3.7
Swastik Pavitra Bhojnalaya,,Adarsh Nagar,"1,553 Dining Reviews",37.3K Delivery Reviews,Dhaba ,North Indian,250,yes,no,yes,yes,4.1,4.1
Sweet Corn Counter,,Malviya Nagar,Does not offer Dining,135 Delivery Reviews,Kiosk ,Street Food,150,yes,no,yes,no,,4.2
Sweet Delight,,Gopalpura,Does not offer Dining,Not enough Delivery Reviews,,Bakery,200,no,no,yes,no,,
Sweet Dream Chatkara,,MI Road,37 Dining Reviews,527 Delivery Reviews,Quick Bites ,"North Indian, Chinese, South Indian, Continental, Desserts",600,yes,no,yes,yes,3.7,4.5
Sweet House,,Pink City,26 Dining Reviews,Does not offer Delivery,Sweet Shop ,"Mithai, Street Food",200,yes,no,no,yes,3.1,
Sweet Truth,,Central Jaipur,Does not offer Dining,21 Delivery Reviews,,"Bakery, Desserts",300,no,no,yes,no,,3.9
T Cafe,,Malviya Nagar,21 Dining Reviews,168 Delivery Reviews,CAFÉ ,"Cafe, Fast Food, Beverages",350,yes,no,yes,yes,2.9,3.6
T2 Dhaba Takeaway,,Malviya Nagar,Does not offer Dining,297 Delivery Reviews,,"North Indian, Fast Food, Beverages",400,no,no,yes,no,,4
T2 Dhabha,,Malviya Nagar,"1,672 Dining Reviews",19.3K Delivery Reviews,Quick Bites ,North Indian,450,yes,no,yes,yes,4.2,3.9
T20 Dhaba,,Pratap Nagar,21 Dining Reviews,687 Delivery Reviews,Casual Dining ,North Indian,600,no,no,yes,yes,2.5,3.4
Taashli,,Sikar Road,Does not offer Dining,77 Delivery Reviews,,"North Indian, Fast Food",400,yes,no,yes,no,,3.6
Tadka 05,,Jagatpura,16 Dining Reviews,191 Delivery Reviews,Quick Bites ,North Indian,350,yes,no,yes,yes,3.5,3.4
Tadka 2.0,,Khatipura Road,Does not offer Dining,14 Delivery Reviews,,Fast Food,200,no,no,yes,no,,2.9
Tadka Bites Fast Food & Restaurant,,Jhotwara,19 Dining Reviews,87 Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Chinese",550,yes,no,yes,yes,3.5,3.9
Tadka by Kilo,,C Scheme,Not enough Dining Reviews,34 Delivery Reviews,Quick Bites ,North Indian,700,no,no,yes,yes,,3.7
Tadka Delight,,Raja Park,Does not offer Dining,217 Delivery Reviews,,North Indian,400,no,no,yes,no,,3.7
Tadka Dhaba,,Malviya Nagar,600 Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,300,yes,no,no,yes,4.2,
Tadka For U,,Jagatpura,9 Dining Reviews,66 Delivery Reviews,Casual Dining ,North Indian,200,no,no,yes,yes,3.2,3.1
Tadka King,,Malviya Nagar,36 Dining Reviews,97 Delivery Reviews,Quick Bites ,North Indian,600,no,no,yes,yes,3.6,3.9
Tadka Lali Ka Vaishno Dhaba,,Adarsh Nagar,485 Dining Reviews,"3,248 Delivery Reviews",Quick Bites ,North Indian,350,yes,no,yes,yes,4.2,4.3
Tadka Luxury,,Adarsh Nagar,313 Dining Reviews,780 Delivery Reviews,Casual Dining ,"North Indian, South Indian, Fast Food, Chinese",700,yes,no,yes,yes,4,4
Tadka Tandoori Dhaba,,Malviya Nagar,308 Dining Reviews,14.3K Delivery Reviews,Dhaba ,"North Indian, Chinese",400,yes,no,yes,yes,4,3.9
Tadkeshwar Misthan Bhandar,,Pink City,7 Dining Reviews,Does not offer Delivery,,Mithai,350,yes,no,no,yes,3.2,
Tagda Singh,,Jagatpura,Does not offer Dining,114 Delivery Reviews,,"North Indian, Beverages",400,yes,no,yes,no,,4.5
Tahir Bhai Biryani Wale,,C Scheme,Does not offer Dining,176 Delivery Reviews,,"Biryani, North Indian",250,no,no,yes,no,,3.9
Taj Hotel,,Jhotwara,59 Dining Reviews,528 Delivery Reviews,Quick Bites ,"North Indian, Hyderabadi",400,no,no,yes,yes,3.4,3.7
Taj Restaurant,,Pink City,Does not offer Dining,Not enough Delivery Reviews,,Mughlai,600,no,no,yes,no,,
Take Away Foodies,,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,,"Fast Food, Biryani",200,no,no,no,yes,,
Take Away Foodies Food And Beverage,,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,,"Biryani, Fast Food",200,no,no,no,yes,,
Talab,,Chitrakoot,Not enough Dining Reviews,Does not offer Delivery,Beverage Shop ,"Fast Food, Beverages",150,no,no,no,yes,,
Talab Restaurant & Cafe,,Jhotwara,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Chinese",450,no,no,no,yes,,
Talk Of The Town,,MI Road,"1,021 Dining Reviews","4,232 Delivery Reviews",Casual Dining ,"North Indian, Mughlai",500,no,no,yes,yes,4.3,4.1
Talk Of The Town,,Sikar Road,12 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Mughlai",700,no,no,no,yes,3.6,
Talk Of The Town,,Amer Road,14 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,North Indian,400,no,no,yes,yes,3.3,
Talk of the Town,,Shyam Nagar,Does not offer Dining,682 Delivery Reviews,Quick Bites ,"North Indian, Rolls, Kebab",650,no,no,yes,no,,4.1
Talk Of The Town,,Mansarovar,Does not offer Dining,682 Delivery Reviews,Quick Bites ,"North Indian, Mughlai",500,no,no,yes,no,,4
Talk Of The Town,,Malviya Nagar,Does not offer Dining,601 Delivery Reviews,,"North Indian, Mughlai",500,no,no,yes,no,,4.3
Talk Of The Town,,Vaishali Nagar,16 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Mughlai",500,no,no,yes,yes,3,
Talk Of The Town,,Raja Park,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Mughlai",600,no,no,yes,yes,3.2,
Talk Of The Town Express,,Shyam Nagar,23 Dining Reviews,35 Delivery Reviews,Quick Bites ,"North Indian, Chinese",650,yes,no,yes,yes,3.4,3.6
Tamanna Confectioners & Bakers,,Mansarovar,Does not offer Dining,141 Delivery Reviews,Bakery ,"Bakery, Fast Food",200,no,no,yes,no,,4.1
Tamarind Kitchens,,South Jaipur,Does not offer Dining,141 Delivery Reviews,,"North Indian, Street Food",200,no,no,yes,no,,
Tamboora,,Adarsh Nagar,20 Dining Reviews,Does not offer Delivery,Food Court ,Chinese,500,yes,no,no,yes,2.8,
Tamka Cafe,,Mansarovar,5 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Italian, Mexican, Chinese",200,no,no,yes,yes,3.5,
Tamsa's Kitchen,,Khatipura Road,Does not offer Dining,35 Delivery Reviews,,North Indian,400,no,no,yes,no,,3.9
Tana Bana Family Restaurant,,Mansarovar,13 Dining Reviews,Does not offer Delivery,Quick Bites ,"Chinese, North Indian",500,yes,no,no,yes,3.3,
Tandoor,,South Jaipur,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Chinese",600,no,no,yes,no,,
Tandoori Chai,,Vaishali Nagar,Not enough Dining Reviews,Does not offer Delivery,Beverage Shop ,"Tea, Street Food",100,no,no,no,yes,,
Tandoori Chuski,,Durgapura,4 Dining Reviews,Does not offer Delivery,,Fast Food,100,no,no,no,yes,3.1,
Tandoori Diaries,,Sodala,14 Dining Reviews,24 Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,3.4,2.7
Tandoori Flames,,Vaishali Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, Mughlai",400,no,no,yes,yes,,
Tandoori Khazana,,Mansarovar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, Mughlai, Fast Food, Beverages",700,no,no,yes,yes,,
Tandoori Taal,,Malviya Nagar,Does not offer Dining,291 Delivery Reviews,,North Indian,400,no,no,yes,no,,3.3
Tandoori Tadka,,Raja Park,47 Dining Reviews,19 Delivery Reviews,Quick Bites ,"Fast Food, Chinese, North Indian, Beverages",500,yes,no,yes,yes,3.3,3.9
Tandoori Tower,,Jagatpura,Does not offer Dining,110 Delivery Reviews,,"North Indian, South Indian, Chinese, Fast Food",250,yes,no,yes,no,,2.9
Tandoori Trails,,Shyam Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,550,no,no,yes,yes,,
Tandoori Zaika,,Chitrakoot,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,200,no,no,yes,yes,,
Tandoor's Grill,,Malviya Nagar,71 Dining Reviews,"1,600 Delivery Reviews",Quick Bites ,North Indian,500,no,no,yes,yes,3,3.7
Tangelo,,Bapu Nagar,17 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Chinese, Continental, Kebab",750,no,no,no,yes,2.6,
Tanisha's Love,,Jagatpura,117 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,300,no,no,yes,yes,3.8,
Tan-Sukh,,C Scheme,165 Dining Reviews,589 Delivery Reviews,Casual Dining ,"North Indian, Rajasthani, Chinese, Fast Food, Beverages, Desserts","1,100",no,no,yes,yes,3.9,4.1
Tan-Sukh,,Vaishali Nagar,334 Dining Reviews,"1,130 Delivery Reviews",Casual Dining ,"North Indian, Rajasthani, Chinese, Fast Food, Beverages, Desserts","1,100",yes,no,yes,yes,4,4
Tapri Ashram,,Durgapura,623 Dining Reviews,"1,099 Delivery Reviews",CAFÉ ,"Cafe, Fast Food, Street Food, Beverages",800,yes,no,yes,yes,4.4,4.3
Tapri Central,,C Scheme,"3,123 Dining Reviews","3,104 Delivery Reviews",CAFÉ ,"Cafe, Fast Food, Street Food",800,yes,no,yes,yes,4.9,4.2
Tapri Pratham,,Lal Kothi,707 Dining Reviews,"1,142 Delivery Reviews",CAFÉ ,"Cafe, Fast Food, Street Food, Beverages",800,yes,no,yes,yes,4.4,4.4
Tara Ji Sweets,,Malviya Nagar,24 Dining Reviews,Not enough Delivery Reviews,"Sweet Shop, Quick Bites ","North Indian, Mithai",300,yes,no,yes,yes,3.3,
Tara Niwas Restaurant,,Bani Park,14 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Continental",500,no,no,no,yes,3.4,
Tarkari Wala's,,Gopalpura,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,400,yes,no,yes,yes,,
Tasalli Cafe,,Shyam Nagar,38 Dining Reviews,82 Delivery Reviews,CAFÉ ,"Cafe, Fast Food, Beverages",300,yes,no,yes,yes,3.6,3.4
Taste & Choice,,Jawahar Nagar,Does not offer Dining,33 Delivery Reviews,,North Indian,400,no,no,yes,no,,3.9
Taste & Flavour,,Sanganer,11 Dining Reviews,Does not offer Delivery,,"North Indian, Fast Food",200,yes,no,no,yes,3.5,
Taste En Route,,Jagatpura,Does not offer Dining,74 Delivery Reviews,,"Chinese, Fast Food",400,no,no,yes,no,,3.9
Taste For Hunger,,South Jaipur,Does not offer Dining,423 Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,no,,3.3
Taste of Chinese and Fast Food Point,,Mansarovar,13 Dining Reviews,141 Delivery Reviews,Quick Bites ,"Chinese, Fast Food, Beverages",600,yes,no,yes,yes,2.6,4
Taste Of Heritage,,Vaishali Nagar,17 Dining Reviews,28 Delivery Reviews,Casual Dining ,"North Indian, Mughlai",700,no,no,yes,yes,3.4,3.4
Taste Of India,,Mansarovar,7 Dining Reviews,20 Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,yes,3.1,2.1
Taste of Nawab,,Shyam Nagar,30 Dining Reviews,52 Delivery Reviews,Quick Bites ,"North Indian, Mughlai",600,no,no,yes,yes,3.6,2.9
Taste Of Smoke,,MI Road,Not enough Dining Reviews,Does not offer Delivery,,Rajasthani,400,no,no,no,yes,,
Taste Of The Town,,Shastri Nagar,112 Dining Reviews,291 Delivery Reviews,Quick Bites ,"North Indian, Chinese",550,no,no,yes,yes,3.6,3.8
Tasty Bites,,C Scheme,28 Dining Reviews,76 Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food, Chinese",250,no,no,yes,yes,3.5,3.9
Tasty Crush,,Gopalpura,4 Dining Reviews,Not enough Delivery Reviews,Beverage Shop ,Coffee,150,no,no,yes,yes,2.9,
Tasty Food Restaurant,,Tonk Phatak,12 Dining Reviews,Does not offer Delivery,,North Indian,300,no,no,no,yes,3.2,
Tasty King,,Pink City,12 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,200,no,no,yes,yes,3.6,
Tasty North,,Sanganer,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food",200,no,no,yes,no,,
Tasty To Go,,Sodala,Does not offer Dining,Not enough Delivery Reviews,,Fast Food,200,no,no,yes,no,,
Tasty Vibes,,Raja Park,154 Dining Reviews,471 Delivery Reviews,Casual Dining ,"Chinese, Fast Food, South Indian, North Indian",500,yes,no,yes,yes,3.3,3.9
Tati Roti Restaurant,,Sindhi Camp,23 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, South Indian, Fast Food, Chinese",550,no,no,yes,yes,2.9,
Tawa And Tandoor,,Ajmer Highway,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
Tawa And Tandoor,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
Tawa Mafia,,Jawahar Nagar,13 Dining Reviews,48 Delivery Reviews,Quick Bites ,"North Indian, Chinese",450,no,no,yes,yes,2.6,3.9
Tawook,,Raja Park,Does not offer Dining,46 Delivery Reviews,,"Lebanese, Mughlai",550,no,no,yes,no,,3.9
Taxi Chick-Inn,,Sindhi Camp,"1,401 Dining Reviews",16K Delivery Reviews,Quick Bites ,North Indian,650,no,no,yes,yes,4,3.5
Taxi Chick-Inn,,Sindhi Camp,725 Dining Reviews,"9,790 Delivery Reviews",Quick Bites ,"North Indian, Mughlai",500,no,no,yes,yes,3.9,3.5
Taxi Chick-Inn,,Malviya Nagar,85 Dining Reviews,"1,667 Delivery Reviews",Casual Dining ,North Indian,650,no,no,yes,yes,3.7,3.7
TC - Thali And Combo,,Chitrakoot,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,500,yes,no,yes,yes,,
TDX,,Sanganer,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,450,no,no,yes,yes,,
Tea Amo,,Lal Kothi,175 Dining Reviews,488 Delivery Reviews,CAFÉ ,"Cafe, Fast Food",300,yes,no,yes,yes,4,3.9
Tea Calling,,Shyam Nagar,Does not offer Dining,42 Delivery Reviews,Food Truck ,"Tea, Fast Food, North Indian",200,no,no,yes,no,,3.6
Tea China,,South Jaipur,Does not offer Dining,59 Delivery Reviews,,"Chinese, South Indian, Fast Food",300,no,no,yes,no,,2.9
Tea Coffee Snacks,,Malviya Nagar,36 Dining Reviews,Not enough Delivery Reviews,"Beverage Shop, Quick Bites ","Fast Food, Tea, Coffee",300,no,no,yes,yes,3.7,
Tea Connect Cafe,,Mansarovar,971 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Fast Food, Street Food, Beverages",500,yes,no,no,yes,4.3,
Tea Connect Cafe,,Lal Kothi,156 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Cafe, Fast Food, Street Food, Beverages",500,yes,no,yes,yes,4.1,
Tea House Cafe,,Pratap Nagar,Does not offer Dining,28 Delivery Reviews,Quick Bites ,"North Indian, South Indian",200,yes,no,yes,no,,3.9
Tea Post,,Sitapur,18 Dining Reviews,Does not offer Delivery,Beverage Shop ,"Tea, Fast Food",200,no,no,no,yes,2.6,
Tea Post,,Raja Park,63 Dining Reviews,609 Delivery Reviews,CAFÉ ,"Cafe, Fast Food",400,no,no,yes,yes,3.5,4.2
Tea Saga,,Lal Kothi,115 Dining Reviews,661 Delivery Reviews,CAFÉ ,"Cafe, Fast Food",250,yes,no,yes,yes,3.5,3.4
Tea Spot,,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, North Indian, Tea",250,yes,no,no,yes,,
Tea Square,,Vidhyadhar Nagar,364 Dining Reviews,"2,276 Delivery Reviews",CAFÉ ,"Cafe, Sandwich, Fast Food, Beverages",550,yes,no,yes,yes,4,4.3
Tea Stories,,Bais Godam,Does not offer Dining,24 Delivery Reviews,,"Tea, Fast Food",250,no,no,yes,no,,3.9
Tea Tradition,,C Scheme,334 Dining Reviews,287 Delivery Reviews,CAFÉ ,"Cafe, Fast Food",450,yes,no,yes,yes,4,3.6
Tea Tradition Xpress,,Shyam Nagar,Not enough Dining Reviews,87 Delivery Reviews,"Beverage Shop, Quick Bites ","Tea, Coffee, Fast Food",150,yes,no,yes,yes,,3.8
TeaQuila - A Fashion Cafe,,Malviya Nagar,861 Dining Reviews,"2,244 Delivery Reviews","CAFÉ, Casual Dining ","Continental, Italian, Fast Food, Cafe",800,yes,no,yes,yes,3.6,3.1
Teastar,,Gopalpura,37 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Street Food, Tea, Beverages",200,no,no,yes,yes,3.8,
Teasty Thali,,Pratap Nagar,30 Dining Reviews,18 Delivery Reviews,Quick Bites ,North Indian,150,no,no,yes,yes,3.6,3.1
Tej Pizza Burger,,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Chinese, Beverages",100,yes,no,no,yes,,
Tempties - The Food Blog,,Chitrakoot,113 Dining Reviews,950 Delivery Reviews,Quick Bites ,"Fast Food, Chinese, Beverages",300,yes,no,yes,yes,3.3,4.1
Ten 11 Lounge & Bar,,Malviya Nagar,644 Dining Reviews,Does not offer Delivery,"Lounge, Bar ","Asian, North Indian, Beverages","1,700",no,yes,no,yes,4.1,
Ten Twisters,,C Scheme,199 Dining Reviews,416 Delivery Reviews,Casual Dining ,"North Indian, Continental, Chinese, Asian","1,800",no,no,yes,yes,4,3.5
Terminal - 1 Cafe,,Sanganer,20 Dining Reviews,121 Delivery Reviews,CAFÉ ,"Cafe, Fast Food, Beverages",400,yes,no,yes,yes,3.5,3.4
Terrazzo,,Tonk Road,32 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"Fast Food, North Indian, Chinese","1,200",no,yes,yes,yes,3.6,
Territory Cafe & Rooftop,,Mansarovar,40 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, North Indian, Chinese, Fast Food, Beverages",450,yes,no,yes,yes,3.3,
Test N Twist,,East Jaipur,Does not offer Dining,Not enough Delivery Reviews,,Fast Food,150,no,no,yes,no,,
Tetra Cafe,,Sitapur,9 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, Fast Food",250,no,no,yes,yes,3.2,
TFC - The Fusion Cafe,,Mansarovar,113 Dining Reviews,168 Delivery Reviews,CAFÉ ,"Cafe, South Indian, Chinese",400,yes,no,yes,yes,4.1,3.7
TGIB : The Grand Indian Buffet,,Vaishali Nagar,860 Dining Reviews,"2,675 Delivery Reviews",Casual Dining ,"North Indian, Italian, Chinese, Mexican, Fast Food","1,000",yes,no,yes,yes,4.1,3.8
Thadi,,C Scheme,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese, Street Food, Sandwich, Beverages",650,yes,no,yes,yes,,
Thadi,,Raja Park,350 Dining Reviews,231 Delivery Reviews,Quick Bites ,"Fast Food, Chinese, Street Food, Sandwich, Beverages",650,yes,no,yes,yes,3.8,3.7
Thadi Culture,,East Jaipur,Does not offer Dining,Not enough Delivery Reviews,,"Fast Food, Beverages",400,no,no,yes,no,,
Thaggu Ke Samose,,Chitrakoot,Does not offer Dining,"8,833 Delivery Reviews",Quick Bites ,Street Food,150,yes,no,yes,no,,4
Thaggu Ke Samose,,Malviya Nagar,Does not offer Dining,"1,402 Delivery Reviews",Quick Bites ,Street Food,100,yes,no,yes,no,,3.9
Thaleez,,Shyam Nagar,Does not offer Dining,136 Delivery Reviews,,North Indian,500,no,no,yes,no,,3.7
Thali,,Jhotwara,Not enough Dining Reviews,Not enough Delivery Reviews,Casual Dining ,North Indian,600,no,no,yes,yes,,
Thali And Co.,,Vaishali Nagar,Does not offer Dining,249 Delivery Reviews,,"North Indian, Chinese, Burger, Fast Food, Beverages",500,no,no,yes,no,,3.6
Thali and More,,C Scheme,"2,342 Dining Reviews",10.7K Delivery Reviews,Casual Dining ,"North Indian, South Indian, Chinese, Fast Food","1,100",yes,no,yes,yes,4.6,4.3
Thali by You,,South Jaipur,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
Thali Express,,C Scheme,Does not offer Dining,Not enough Delivery Reviews,,North Indian,100,no,no,yes,no,,
Thali House,,Sindhi Camp,533 Dining Reviews,"1,498 Delivery Reviews",Casual Dining ,"North Indian, Rajasthani, South Indian",500,yes,no,yes,yes,3.8,4.3
Thali House,,MI Road,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,Rajasthani,250,no,no,no,yes,,
Thali House,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Street Food",350,no,no,yes,no,,
Thali Inn,,Pratap Nagar,Not enough Dining Reviews,30 Delivery Reviews,Quick Bites ,North Indian,150,no,no,yes,yes,,2.4
Thali Junction,,Chitrakoot,Does not offer Dining,"1,154 Delivery Reviews",,North Indian,250,no,no,yes,no,,2.9
Thali King,,MI Road,Does not offer Dining,723 Delivery Reviews,,"North Indian, Fast Food",300,yes,no,yes,no,,3.9
Thali king,,Malviya Nagar,Does not offer Dining,25 Delivery Reviews,,"North Indian, Fast Food",300,no,no,yes,no,,3.5
Thali Mahal,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Pizza, Chinese, Beverages",200,no,no,yes,no,,
Thali N Combo,,C Scheme,Does not offer Dining,Not enough Delivery Reviews,,North Indian,100,no,no,yes,no,,
Thali N Paratha Nation,,Shyam Nagar,Does not offer Dining,759 Delivery Reviews,,"North Indian, South Indian, Chinese, Fast Food",300,no,no,yes,no,,3.9
Thali Nation Take Away,,Mansarovar,Does not offer Dining,42 Delivery Reviews,,"North Indian, Chinese, Fast Food, Mughlai",500,no,no,yes,no,,3.2
Thali Palace,,Malviya Nagar,Does not offer Dining,"3,072 Delivery Reviews",,"North Indian, Fast Food",300,no,no,yes,no,,3.6
Thali Palace,,Mansarovar,Does not offer Dining,"2,239 Delivery Reviews",,"North Indian, Fast Food",300,no,no,yes,no,,3.8
Thali Palace,,Shyam Nagar,Does not offer Dining,"1,445 Delivery Reviews",,"North Indian, Fast Food, Beverages",450,no,no,yes,no,,3.8
Thali World,,C Scheme,Does not offer Dining,63 Delivery Reviews,,North Indian,250,yes,no,yes,no,,3.9
Thali Xpress,,Chitrakoot,Does not offer Dining,"5,355 Delivery Reviews",,North Indian,400,no,no,yes,no,,3.2
Thali.com,,Shyam Nagar,Does not offer Dining,84 Delivery Reviews,,North Indian,300,no,no,yes,no,,3.9
Thali-N-Platters,,C Scheme,Does not offer Dining,"1,186 Delivery Reviews",,North Indian,300,no,no,yes,no,,4.2
Thaliwala,,Lal Kothi,Not enough Dining Reviews,Does not offer Delivery,,"Rajasthani, Gujarati",350,yes,no,no,yes,,
Thaliwalaj,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,North Indian,450,no,no,yes,no,,
Thaliwalaz,,Jagatpura,Does not offer Dining,"6,475 Delivery Reviews",,"North Indian, Chinese, Sandwich, Fast Food, Beverages",200,yes,no,yes,no,,3.4
The Alchemist Cafe,,Shyam Nagar,Does not offer Dining,"6,475 Delivery Reviews",CAFÉ ,Cafe,500,no,no,yes,no,,
The Anjali Bistro,,Pratap Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,South Indian,300,no,no,no,yes,,
The Arogo Kitchen,,Gopalpura,48 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,400,yes,no,yes,yes,3.7,
The Art Cafe,,Shyam Nagar,8 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, North Indian, Fast Food, Beverages",350,no,no,yes,yes,3.2,
