Name,,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
Khatirdari Family Veg Restaurant,,Pink City,Not enough Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, South Indian, Chinese, Fast Food",500,yes,no,yes,yes,,
Khatta Meetha Teekha Tadka,,Durgapura,480 Dining Reviews,19.3K Delivery Reviews,Dhaba ,North Indian,300,yes,no,yes,yes,4.1,3.7
Khatta Meetha Teekha Tandoori Tadka,,Jagatpura,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Chinese, Fast Food, Desserts",450,no,no,yes,no,,
Khatu Shyam Dairy,,Jagatpura,Not enough Dining Reviews,40 Delivery Reviews,Beverage Shop ,Beverages,300,no,no,yes,yes,,3.9
Khau Gali Junction,,Pink City,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Gujarati, Rajasthani",200,yes,no,no,yes,,
Khomcha,,Jhotwara,6 Dining Reviews,Does not offer Delivery,Food Court ,Street Food,200,yes,no,no,yes,2.2,
Khopcha Juice Shake & Fast Food Corner,,Mansarovar,11 Dining Reviews,Does not offer Delivery,"Beverage Shop, Quick Bites ","Juices, Fast Food",350,yes,no,no,yes,2.7,
Khopcha Restaurant,,Mansarovar,33 Dining Reviews,84 Delivery Reviews,Quick Bites ,"North Indian, Chinese, Fast Food, Beverages",300,yes,no,yes,yes,2.9,3.3
Khurafati Smoothies & Shakes,,Sikar Road,161 Dining Reviews,"2,334 Delivery Reviews","Beverage Shop, Quick Bites ","Beverages, Fast Food",200,yes,no,yes,yes,4,3.9
Khursheed Hotel,,Sanganer,12 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Roast Chicken, North Indian",150,no,no,yes,yes,3.4,
Khushbu Chat Coner,,Pratap Nagar,56 Dining Reviews,Does not offer Delivery,Quick Bites ,"South Indian, Street Food",200,yes,no,no,yes,3.8,
Khwahish Restaurant,,Vaishali Nagar,25 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,yes,3.5,
Ki & Ka Kafe Restaurant,,Chitrakoot,892 Dining Reviews,"3,803 Delivery Reviews",CAFÉ ,"Cafe, Chinese, North Indian",600,yes,no,yes,yes,4,3
Kiara's Kitchen,,C Scheme,66 Dining Reviews,143 Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Beverages",450,yes,no,yes,yes,3.6,3.4
Kidz & Co.,,Raja Park,34 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,600,yes,no,yes,yes,3.7,
Kigelia Court - Royal Heritage Haveli,,Khatipura Road,11 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Rajasthani, Continental","2,500",no,yes,no,yes,3.4,
KiloSubzi,,Bapu Nagar,Does not offer Dining,242 Delivery Reviews,,"Rajasthani, North Indian",500,yes,no,yes,no,,3.9
King Of Mama Paratha,,North Jaipur,Does not offer Dining,242 Delivery Reviews,,North Indian,450,no,no,yes,no,,
King Sweets,,Pink City,Does not offer Dining,"7,248 Delivery Reviews",Sweet Shop ,Mithai,350,yes,no,yes,no,,4.3
Kingdom Of Curry's,,Pratap Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Fast Food, Chinese, Desserts, Beverages",250,no,no,no,yes,,
Kings Bakers And Fast Food,,Jawahar Nagar,Does not offer Dining,Not enough Delivery Reviews,,Fast Food,300,no,no,yes,no,,
King's Cuisine,,Raja Park,13 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Chinese, Fast Food",750,no,yes,no,yes,2.9,
Kings Hotel,,Ajmer Highway,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,400,no,no,no,yes,,
King's Kitchen,,Mansarovar,514 Dining Reviews,"4,262 Delivery Reviews",Quick Bites ,"North Indian, South Indian, Fast Food, Beverages",250,yes,no,yes,yes,4,4.1
King's Kitchen,,Mansarovar,Does not offer Dining,"3,413 Delivery Reviews",,"North Indian, South Indian, Fast Food, Beverages",250,yes,no,yes,no,,3.9
Kings Kulfi,,C Scheme,Does not offer Dining,118 Delivery Reviews,Dessert Parlor ,Ice Cream,200,yes,no,yes,no,,4.6
King's Platter Restaurant,,MI Road,221 Dining Reviews,283 Delivery Reviews,Quick Bites ,"North Indian, Mughlai",550,no,no,yes,yes,3.6,3.4
Kings Veg Restaurant,,Jhotwara,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,350,yes,no,yes,yes,,
Kiran Sweets,,Gopalpura,14 Dining Reviews,Does not offer Delivery,"Sweet Shop, Quick Bites ",Mithai,200,yes,no,no,yes,2.9,
Kiran Sweets,,Raja Park,Not enough Dining Reviews,Does not offer Delivery,Sweet Shop ,Mithai,150,no,no,no,yes,,
Kirodiwal Sweets,,Sikar Road,14 Dining Reviews,69 Delivery Reviews,Sweet Shop ,"Mithai, Fast Food, Street Food, South Indian",300,yes,no,yes,yes,2.5,3.9
Kirti Sweets,,Agra Road,5 Dining Reviews,Does not offer Delivery,Sweet Shop ,"Mithai, Street Food",200,yes,no,no,yes,3.1,
Kishan Lal Govind Naraian Agarwal Lassiwala,,MI Road,200 Dining Reviews,Does not offer Delivery,Beverage Shop ,Beverages,100,yes,no,no,yes,4.3,
Kishan Misthan Kendra,,Pink City,7 Dining Reviews,Does not offer Delivery,Sweet Shop ,Mithai,300,no,no,no,yes,2.8,
Kitchen Bhaji,,Pink City,Does not offer Dining,Not enough Delivery Reviews,,"Fast Food, Juices",150,no,no,yes,no,,
Kitchen Daddy Restro,,C Scheme,Does not offer Dining,154 Delivery Reviews,,North Indian,350,no,no,yes,no,,3.9
Kitchen King,,Sikar Road,13 Dining Reviews,Not enough Delivery Reviews,"Casual Dining, Bar ","North Indian, Chinese",900,no,no,yes,yes,3.5,
Kitchen King Restaurant,,Sindhi Camp,10 Dining Reviews,204 Delivery Reviews,Quick Bites ,"Fast Food, North Indian, South Indian, Beverages",300,yes,no,yes,yes,3.2,3.4
Kitchen Tandoori,,Malviya Nagar,Does not offer Dining,"1,620 Delivery Reviews",,"North Indian, Rolls",500,no,no,yes,no,,3.4
Kitchen Zayka,,C Scheme,68 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Rajasthani, Chinese",600,no,no,yes,yes,4,
Kittu Egg Junction,,Mansarovar,Does not offer Dining,20 Delivery Reviews,,"Fast Food, North Indian",250,no,no,yes,no,,2.9
Kituâ€™s Snack Bar,,Adarsh Nagar,17 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Beverages",450,yes,no,yes,yes,3.7,
Kloud - Royal Orchid Central,,Bani Park,468 Dining Reviews,Does not offer Delivery,"Lounge, Casual Dining ","North Indian, Chinese, Italian, Asian","1,800",no,yes,no,yes,4.4,
Kokum Bistro,,Amer,44 Dining Reviews,Does not offer Delivery,Casual Dining ,"South Indian, Fast Food, North Indian",700,yes,no,no,yes,3.7,
Kolkata Biryani Houses,,Jagatpura,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Biryani,150,no,no,yes,yes,,
Konkan Dosa,,Jawahar Nagar,9 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,South Indian,250,yes,no,yes,yes,3.5,
Kopper Kadai,,Shyam Nagar,14 Dining Reviews,245 Delivery Reviews,Quick Bites ,"North Indian, Chinese, Fast Food",250,yes,no,yes,yes,3.1,3.4
Kota Kachori - Falahaar,,Vaishali Nagar,Does not offer Dining,"1,123 Delivery Reviews",,Street Food,200,yes,no,yes,no,,3.8
Kota Kachori-Falahaar,,C Scheme,Does not offer Dining,989 Delivery Reviews,Quick Bites ,"Street Food, Mithai",150,yes,no,yes,no,,4
Kotawala's,,Mansarovar,Does not offer Dining,438 Delivery Reviews,"Sweet Shop, Quick Bites ","Mithai, Street Food",250,yes,no,yes,no,,3.7
Krazy Noodles,,Pratap Nagar,Does not offer Dining,557 Delivery Reviews,,Fast Food,150,no,no,yes,no,,3.3
